"game_id","season","type","date_time","away_team_id","home_team_id","away_goals","home_goals","outcome","home_rink_side_start","venue","venue_link","venue_time_zone_id","venue_time_zone_offset","venue_time_zone_tz"
"2012030221","20122013","P",2013-05-16,"3","6",2,3,"home win OT","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030222","20122013","P",2013-05-19,"3","6",2,5,"home win REG","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030223","20122013","P",2013-05-21,"6","3",2,1,"away win REG","right","Madison Square Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012020490","20122013","R",2013-03-28,"21","20",3,4,"home win REG","right","Scotiabank Saddledome","/api/v1/venues/null","America/Denver",-6,"MDT"
"2012020099","20122013","R",2013-02-01,"18","26",2,1,"away win SO","right","Staples Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2012020704","20122013","R",2013-04-26,"2","7",1,2,"home win SO","left","First Niagara Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2013020254","20132014","R",2013-11-10,"23","26",1,5,"home win REG","right","Staples Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2016020790","20162017","R",2017-02-08,"28","7",4,5,"home win OT","left","KeyBank Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2017020917","20172018","R",2018-02-20,"24","54",2,0,"away win REG",NA,"T-Mobile Arena","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2016020557","20162017","R",2017-01-01,"23","22",3,2,"away win SO","left","Rogers Place","/api/v1/venues/null","America/Edmonton",-6,"MDT"
"2015020537","20152016","R",2015-12-29,"3","18",3,5,"home win REG","left","Bridgestone Arena","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2016020800","20162017","R",2017-02-08,"8","21",0,4,"home win REG","right","Pepsi Center","/api/v1/venues/null","America/Denver",-6,"MDT"
"2015020327","20152016","R",2015-11-26,"24","53",2,4,"home win REG","left","Gila River Arena","/api/v1/venues/null","America/Phoenix",-7,"MST"
"2017020746","20172018","R",2018-01-26,"18","1",3,0,"away win REG","left","Prudential Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2017021053","20172018","R",2018-03-10,"19","26",7,2,"away win REG","right","STAPLES Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2015030315","20152016","P",2016-05-23,"14","5",4,3,"away win OT","left","CONSOL Energy Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2015030316","20152016","P",2016-05-25,"5","14",5,2,"away win REG","left","Amalie Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2015030317","20152016","P",2016-05-27,"14","5",1,2,"home win REG","left","CONSOL Energy Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2016030221","20162017","P",2017-04-27,"5","15",3,2,"away win REG","right","Verizon Center","/api/v1/venues/null","America/New_York",-4,"EDT"
